post_url,post_text,post_label,number_of_likes,number_of_shares,number_of_comments,post_date,comment_text,comment_date,comment_reactions_count,comment_mode_types,post_target_region,post_language,comment_language,coal_topic/event_tag,season,comment_sentiment_label,sentiment_confidence,news_page_name
https://www.facebook.com/AzattykPlus/posts/25269269619?rdid=cdhQjOyEXOTLrH64#,"Электр жетишсиз, көмүр кымбат - өкмөт келсин",negative,0,0,0,2008-09-04,,,,,countrywide,Kyrgyz,,high price,fall,,,Azattyk
https://www.facebook.com/AzattykPlus/posts/28339328073?rdid=HR0Ghmc0j2eap3kX#,ТҮШТҮКТӨ КӨМҮРДҮН ТОННАСЫ 7 МИҢ СОМГО ЧЫКТЫ,negative,0,0,0,2008-09-14,,,,,Osh,Kyrgyz,,high price,fall,,,Azattyk
https://www.facebook.com/AzattykPlus/posts/214686358597067?rdid=Su2P3tjOaGcY96Gh#,"Кызыл-Кыя шаарындагы цемент заводунун жанында союз мезгилинде
кемур казылып алынган шахтада бар. Чыгыш шахтасы деп аталат. Учурда
ал жерди айрым жергиликтуу тургундар ез алдынча иштетууде.",negative,0,1,0,2011-10-11,,,,,Batken,Kyrgyz,,illegal coal mining,fall,,,Azattyk
https://www.facebook.com/AliToktakunov/posts/126322300804769?rdid=3qX3NBAZO6riEORn#,"Кызыл-Кыя шаарындагы цемент заводунун жанында союз мезгилинде
кемур казылып алынган шахта бар. Чыгыш шахта деп аталат. Учурда
ал жерди айрым жергиликтуу тургундар ез алдынча иштетууде.",negative,1,0,1,2011-10-11,"Бийликтегилер карабаса ушундай болотта, бардык комур чыккан жерлерде ушундай, бирок ачык карьерлерде казып алат десем, шахтадан да алабаштаган турбайбы. Адам баласына коркунуч алып келерин тушунобуз, бирок айла жок ..",2011-10-11,0.0,text,Batken,Kyrgyz,Kyrgyz,illegal coal mining,fall,negative,high,Azattyk
https://www.facebook.com/groups/araba.kg/permalink/251117434918746/?rdid=cJG9gMKChVyQfNlt,"Кыргызстан.Соңку бир апта ичинде Кыргызстанда сүт, эт, күйүүчү май жана көмүрдүн баалары жогорулап кетти. Бул тууралуу Монополияга каршы жөнгө салуу агенттигинин басма сөз кызматы билдирет.
Мониторингдин жыйынтыктарына ылайык, 10-августка салыштырмалуу өлкөдө таза сүт, айран, кой жана уй эти, АИ-80 үлгүсүндөгү күйүүчү май, көмүр баасы жогорулады. Учурда бир тонна көмүрдүн баасы 3304,7 сом туруп, 10-августтагы баа менен айырма  3,9% айырманы түздү.
Бир сомго чейинки чекте баасы жогорулагандарга: таза сүт (0,20 сомго), кой эти (1 сомго), АИ-80 бензини (0,10 сомго) кирди. Аталган агенттиктин басма сөз кызматынын маалыматына ылайык, шекер баасы тескерисинче  69,3төн 66,8 сомго чейин арзандады.",negative,0,0,0,2011-08-23,,,,,countrywide,Kyrgyz,,high price,summer,,,araba.kg-avtobazar
https://www.facebook.com/Tolishizivon/photos/a.177594332292985/230248873694197/?type=3&rdid=ynnsIsSATYLTp4oK&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1ETqjipdoX%2F#,Көмүр-Зевел,neutral,3,0,0,2011-09-05,,,,,countrywide,"Kyrgyz, other",,educational,fall,,,Tolışi iyo umutənən/Talış dilini burda öyrənin  
https://www.facebook.com/groups/araba.kg/permalink/292751774088645/?rdid=ZuQ16DJY2At2WtZM#,"Радиациясы күчтүү деп аныкталган казакcтандык көмүр кайрадан сатуучуга жөнөтүлө баштады. Бул тууралуу бүгүн «Электр станциялары» ишканасынан кабарлашты. Казакстандын кулан көмүрү Бишкекти жылытуу үчүн сентябрда сатылып алынган. Бирок аны текшере келгенде адамга зыян жагы бар экени далилденген. Акчасы сатуучуга төлөнгөн эмес. Бул көмүр пайдаланылган жок. Эми Бишкек ЖЭЦинин кампасында турган жеринен жүктөлүп, кайра Казакстанга жөнөтүлө баштады.",negative,0,0,4,2011-11-19,akchasi tolongon emes delip turat..buyursa tolonboso kerek  bolboso bizdikiler mindan da shabashka kilip ketkendi oyunan ari otkorboyt ,2011-11-19,1.0,text,countrywide,Kyrgyz,Kyrgyz in Latin,"import, harm",fall,negative,high,araba.kg-avtobazar
https://www.facebook.com/groups/araba.kg/permalink/292751774088645/?rdid=ZuQ16DJY2At2WtZM#,"Радиациясы күчтүү деп аныкталган казакcтандык көмүр кайрадан сатуучуга жөнөтүлө баштады. Бул тууралуу бүгүн «Электр станциялары» ишканасынан кабарлашты. Казакстандын кулан көмүрү Бишкекти жылытуу үчүн сентябрда сатылып алынган. Бирок аны текшере келгенде адамга зыян жагы бар экени далилденген. Акчасы сатуучуга төлөнгөн эмес. Бул көмүр пайдаланылган жок. Эми Бишкек ЖЭЦинин кампасында турган жеринен жүктөлүп, кайра Казакстанга жөнөтүлө баштады.",negative,0,0,4,2011-11-19,"Айрым маалыматтарга караганда Куланды комурду Бишке ЖЭЦ сонку 5 жылдан бери эле жагып келген. Бул жылдагы тендерде утулуп калган фирма, анын зыяндуулугун айтып, жанылык кылып жатат.",2011-11-19,0.0,text,countrywide,Kyrgyz,Kyrgyz,"import, harm",fall,negative,high,araba.kg-avtobazar
https://www.facebook.com/groups/araba.kg/permalink/292751774088645/?rdid=ZuQ16DJY2At2WtZM#,"Радиациясы күчтүү деп аныкталган казакcтандык көмүр кайрадан сатуучуга жөнөтүлө баштады. Бул тууралуу бүгүн «Электр станциялары» ишканасынан кабарлашты. Казакстандын кулан көмүрү Бишкекти жылытуу үчүн сентябрда сатылып алынган. Бирок аны текшере келгенде адамга зыян жагы бар экени далилденген. Акчасы сатуучуга төлөнгөн эмес. Бул көмүр пайдаланылган жок. Эми Бишкек ЖЭЦинин кампасында турган жеринен жүктөлүп, кайра Казакстанга жөнөтүлө баштады.",negative,0,0,4,2011-11-19,"Шамал болбосо чоптун башы кыймылдабайт дейт го. Бирок болуп келген, дагы деле боло берет дегенди токтотуу керек",2011-11-19,1.0,text,countrywide,Kyrgyz,Kyrgyz,"import, harm",fall,negative,medium,araba.kg-avtobazar
https://www.facebook.com/permalink.php?story_fbid=pfbid0FGbYnLbyiuGBEQwU2DsxRH9MWyvd2qchayg6GZHE7itymeDBjDzF7WXoe3u5HEhVl&id=187677341313525&rdid=Kr4UqQs4opI7J6Ss#,"Кара алтындын чыры. Же ууланган казак көмүрүн алып келгендер жазасын алабы?
Бишкек, “http://xn--80aa3cbg9e.kg/” – Гүлзада Турдалиева. Республиканын экономикасын өнүктүрүү үчүн бирдиктүү жана ачык-айкын стратегиялык программанын жоктугунан өлкө үчүн абадай зарыл болгон өндүрүш жаатында иш-аракеттер алымсындырарлык эмес. Бул көмүр өндүрүү тармагына да тийешелүү. Төмөндө республикадагы көмүр тегерегиндеги маселелер туурасында азыноолак кеп кылмакчыбыз. 
Кыргызстанда жер алдындагы көмүр кенинин запасы жетиштүү. Көмүр кендери геологдор тарабынан союз мезгилинде жеткиликтүү чалгынданган. Геологдор ассоцияциясынын жетекчиси Орозбек Дүйшеевдин баамында, өлкөдө жер алдындагы кара алтын 2 миллиард 300 миллион тонна, окумуштуулардын пикиринде 3-4 миллиард тоннага жакын. Сапаты жагынан көмүр стандарттарга жооп берет, аны казып алуу менен бирге нефть менен газды да алууга болот. Финансылык каражаттардын жетишсиздиген улам көмүр кендерин толугу менен иштетүүгө мүмкүнчүлүк жок. Ошентип, учурдагы өлкөдөгү өнөр жай тармагынын акыбалы көмүр кендерин толук кандуу иштетүүгө мүмкүнчүлүк бербей келет. 80-жылдарга салыштырып караганда бүгүнкү күндө он эсеге: болжол менен жылына төрт миллион тоннадан 400 миңге чейин кыскарган.    
Орто Азиянын от жагары эмес белек?
Кыргызстанды бир кезде “Орто Азиядагы от жагаар (кочегарка)” деп аташкан. Карап көрсөк, геологиялык картада “көмүр” деп белгиленген бир топ жайларыбыз бар. Ошого карабастан таш көмүрдү учурда Казакстандан ташып келебиз. Суук түшкөндө казак боордоштор эмес, атүгүл Америкадан деле алып келүүгө даяр эмеспизби. Ошентсе да, бир учурларда “кара алтынды” импорттоону токтотуу маселеси көтөрүлүп чыккан. Маселе козголгону менен көнүмүшүнчө жылыш жок кала берген. Өткөн айда баарыга белгилүү Казакстандан биздин өлкөгө ууланган көмүрдү ташып келүүдөн улам чыр чыкты. Адистердин текшерүүсүндө ташылып келинген 30 чамалуу вагон кулан көмүрүнүн радиоактивдүүлүгү чектелген нормадан 9 эсеге жогору экендиги аныкталды. Дээрлик бир айдан ашуун ЖКнын депутаттарынан тартып жылуулукка муктаж карапайым адамдарга чейин бул тууралуу сөз болду. Акыр соңунда мыкчыгерлер баш калаадагы борбордук жылуулук берүү ишканасынын кампаларындагы, Кара-Балта шаарындагы вагон токтоочу жайда эксперттердин өкүмүн күтүп калган бир нече вагондордогу кара отунду мекенине кайтарды. Анткени менен калктын саламаттыгына олуттуу залакасын тийгизүүчү жана сапаты төмөн көмүрдү ташып келүүгө күнөөлүүлөр жана жоопкерлер эмдигиче ачыкка чыкпаган боюнча.   
“Балык башынан сасыйт” деген кеп бекеринен эмес. Сүрүштүрө келгенде, кептин баары көмүр ташып келүү боюнча тендерге келип такалат экен. Тээ жайда эле премьер Атамбаев экономика тармагын жана калкты 2011-2012-жылдардын күзгү-кышкы маалына даярдоо жөнүндө токтомго кол койгон. Документте 1-июлга чейин “Электр станциялары” ишканасын “бюджеттик мекемелер үчүн отун ташып келүүчүлөрдү аныктоо боюнча тендер өткөрүүнү” милдеттендирет. Анын аткарылышын Энергетика министрлиги көзөмөлгө алууга тийиш эле. Бирок, тендердин өтүшү, жеңүүчүлөрү жөнүндө “Электр станцияларында” дагы, “Энергетика министрлигинде” дагы ачык жарыяланбай, баардыгы жайында таризинде аткаминерлер бүдөмүк кептерди айтып тим болушат. Ошентип, сентябрдын экинчи жарымында маалымат агенттиктеринин бирине берген маегинде Энергетика министри А.Шадиев “Кулан кендеринен жана Шабыркүлдөн борбордук ТЭЦке көмүр ташуу боюнча келишимдер түзүлгөндүгү тууралуу” жарыя кылат. Ал эми сентябрдын соңунда өкмөттүн отурумунда Өмүрбек Бабанов каржы полициясына Бишкек ТЭЦине туура эмес сатып алууларды жүргүзгөндүгүнө байланыштуу текшерүү жүргүзүүнү тапшырат.
Энергетика тармагынын эксперт Расул Умбеталиев мындай пикирин билдирген: “Радиоактивдүү көмүрдүн Бишкектеги ТЭЦ ишканасына ташылып келинишине вице-премьер Өмүрбек Бабанов айыптуу. Кулан көмүр кени узак жылдар бою уран казылып алынган Казакстандын Ак-Суек, Мирный шаарчаларында жакын жайгашкан. Текшерүүнүн негизинде  тендерден жеңип чыккандыгы белгилүү болгон North Power Trade чектелген коомунун ордуна өкмөттүн токтому менен ТОО «Кулан ТБ» кирешелүү тендердин салтанаттуу жеңүүчүсү деп табылып, көмүр ташып келүүгө мүмкүнчүлүк алган. Ортодо мамлекеттик сатып алуулар боюнча тендердик комиссиянын чечимдери жокко чыгарылып, бир катар мыйзамдар бузулган. Көз карандысыз эксперттердин, парламенттин депутаттарынын жана коомчулуктун арты менен гана радиоактивдүү көмүр ташылып келинип жаткандыгы тууралуу факты белгилүү болгон”.
Кыңыр иштин бети ачылгандыктан, атка минерлер жогорудагы ишкана ташыган көмүрдүн зыяндуулугун акыры моюндарына алууга аргасыз болушат. Мамлекеттик бажы кызматынын башчысы Кубанычбек Кулматов Казакстандан ташылып келинген көмүр радиоактивдүү экендигин башта эле билишкендигин кабарлаган. Бажы кызматкерлери билишсе да, билмексен болушкан, ыйгарым укуктары жок болгондуктан, унчугушкан эмес. Анын үстүнө көмүрдү ташып ташып келүүчү тараптын колунда профилдик инспекциянын “стандарттарга туура келет” деген корутундусу болгон.
Ал эми Жогорку Кеңештин депутаты Райкан Төлөгөновдун айтымында, Казакстандан ууланган көмүр Бишкектин ТЭЦтерине быйыл эле ташылып келинген жок. Үстүбүздөгү жылы тендерди “Кулан ТБ” жеңип алган болсо, мурда ушул эле көмүрдү “Кулан-Көмүр” компаниясы ташып келчү. Бирок, буга эч ким маани берген эмес. Демек, мындай көмүр менен жылынып, зыянга учурагандар арабызда бар экендиги турулуу иш. Иликтөөлөрдүн жүрүшүндө жалпы кыргызстандыктардын саламаттыгына зыян келтирүүчү көмүрдү ташып келүүгө катышы бар адамдардын арасында белгилүү эле депутаттардын кулагы чыгып калды. Депутат Райхан Төлөгөнов алардын ким экендигин билээрин, бирок, азырынча айтпай тургандыгын жарыялады. Ал эми көмүрдү жагууда бардык зыяндуу заттар абага чыгып, радиациялык нурланууга алып келээрин, бул ТЭЦти көп миллиондук чыгымга тушуктураарын айтып чыкты. Анткени, андан кийин жагылган көмүр дагы радиоактивдүүлүккө учурайт экен. “Мындай болбошу үчүн ТЭЦтин жабдууларын толугу менен алмаштыруу зарыл,”– дейт ал. Эске салсак, эксперттердин корутундусуна ылайык, отун коопсуздуктун 3-даражасына туура келгендиктен, бул радиациянын тийешелүү деңгээлинен 15ке көп экендигин түшүндүрөт. Демек, көмүр иши менен аралашкандарды тез аранын ичинде медициналык кароодон өткөрүү зарыл. Радиоактивдүү нурларга кабылуу илдети – билинбей эле өлүмгө алып келет.    
Ал эми бизде абал кандай?
Өз алдынча көмүр казган адамдарды бизде «апачи» деп аташат. Мындай ат Советтер Союзунан калган. Көмүр шахталары мыйзамдуу иштеп турган доордо көмүрлөрдүн калдыктарын терип, адамдар от жагып жылынышкан. СССР тарап, кенчилер жумушсуз калган мезгилде өз алдынча көмүр казып, сатууга өтүшкөн. Кыргызстандын ар кыл аймактарында бул кесип менен шугулдангандар аз эмес. Алмалык, Таш-Көмүр, Сүлүктү, Кызыл-Кыя, Көк-Жаңгак, Кара-Кече жана башка көмүр кендеринде жергиликтүү тургундар таштуу адырлардын боорлорун 60-80 метрге чейинки тереңдикте 3төн 5 айга чейин күн-түн дебей казып чыгышат. Ал эми шахтага түшкөндө башына гана жарык берүүчү шаймандарын тагып алышпаса, газдан жана чаңдан коргоочу кийимдердин бирин да кийишпейт. Ошондуктан, көмүрдү казууда кырсыкка кабылып, өлүм менен аяктаган учурлар көп кездешет. Бирок, ушунун арты менен тирилик кылып, үй-бүлөлөрүн багышкандыктан, тобокелдик кылышат. Мисалы, Кызыл-Кыя шаарындагы көмүр кендеринин ичи 90-жылдардын башында кадимки шаарга айланган. Кино салон, ашкана, самсакана, чайкана, арак саткан дүкөндөр, жада калса сойку кыздардын да уюгу пайда болгон экен. Жумушсуздуктун айынын жаш-карысына, кесибине, билимине карабай ким кааласа, ошол иштей берген.
Ошентип, апачилер оюкту казып, ал жерден 45-50 килограммдык капты жондоруна көтөрүп жөрмөлөп чыгышат. Сыртка чыгаргандан кийин аны сатуу да өзүнчө иш.Өз кезегинде мыйзамдаштырылып, менчиктешип кеткен ишканалардын шахталарында деле коопсуздук чаралары сакталбайт.
Айталы, 400 миллион тоннага чейин көмүр жашырылган Кара-Кече кенинде бир нече менчик ишканалар көмүр казып, сатуу менен шугулданат. Алардын арасында ""Шарбон"", “Бешсары"", ""Ак Жол көмүр"" ""Демилге плюс"" ""Акулак"" ишканалары бар. Мисалы, Кара-Кечедеги «Шарбон» жабык акционердик коомунун 36%ы «Мээрим» фондуна, 31%ы Максим Бакиевдин кайын журту Кененбаевдерге, калганы «Шарбондун» башкы директору Кумар Изабаевге жана директорлор кеңешинин төрагасы Тилек Сабыровго таандык экен.
Көмүр кендеринен эң оор 40 тонна жүк көтөргөн кытайлык ""Хобо"" деген унаалардан баштап, арткы орундуктары алынып, жүк ташыгычка айланган ""Москвичке"" чейин кезиктирүүгө болот. Алар тизилген унааларды аралап өтүп, эптеп тоо боорундагы көмүр кендин учуна эле жетсе болду, жарым тоннанын ары-бери жагындагы кесек көмүрдү салып алып, артына кылчайбай, зуулдап жөнөйт.
Кеп соңунда
Көмүр башка кубат берүүчүлөрдөн айырмаланып, энергиянын эң арзан булагы болуп саналат. Маселен, анын наркы энергиянын бирдигинин эсебинде жаратылыш газынын наркынын үчтөн бир бөлүгүн гана түзөт. Жаңы технологияларга ылайык, көмүрдүн мунай импортун сүрүп чыгуу мүмкүнчүлүгү бар. Аны синтетикалык бензинге, дизель же көмүртек отуну катары иштеп чыкса болот. Көмүрдү колдонуу масштабын кеңейтүү жана жаңы жылуулук станцияларын куруу учурдагы дүйнөлүк тенденция. Адистердин пикиринде, Кыргызстанда көмүрдү өндүрүү рентабелдүү деп эсептелинбейт. Кирешеси аз, чыгымы көп болгондуктан, чет элдик инвесторлорду тартып, жогорку технологияларды пайдаланмайынча мындай долбоорду ишке ашыруу кыйын. Ошентсе да, жакында Улуу Британиянын, Ирландиянын, Кытайдын компаниялары Кыргызстандын көмүр кендерине кызыгууларын билдире баштагандыгын жаратылыш ресурстар министрлиги жарыя кылды. 
Геологиялык чалгындоолор боюнча, көмүрдүн запасы Кыргызстандын калкынын жан башына – 4,9 тоннадан тийет, ал эми Кытайда бул көрсөткүч – болгону 4,5 миң тонна. Кытай ошентсе да, бүгүнкү күндө көмүрдүн эсебинен калктын энергияга муктаждыгынын 75 пайызын камсыз кылат. Ал эми биз борбордук ТЭЦке өзүбүздүн көмүрдү жеткире албай, колдо бар кара алтындын баркын билбей, өзгөлөрдүн ууланган көмүрүнө көз каранды болуп жүрөбүз.",negative,0,0,0,2011-11-28,,,,,countrywide,Kyrgyz,,import,fall,,,газета - maidan.kg
